airport,airport_name
SBN,"South Bend, IN: South Bend International"
SCK,"Stockton, CA: Stockton Metropolitan"
SFB,"Sanford, FL: Orlando Sanford International"
SMX,"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field"
SPI,"Springfield, IL: Abraham Lincoln Capital"
TOL,"Toledo, OH: Toledo Express"
USA,"Concord, NC: Concord Padgett Regional"
ITO,"Hilo, HI: Hilo International"
LGB,"Long Beach, CA: Long Beach Airport"
PPG,"Pago Pago, TT: Pago Pago International"
ABI,"Abilene, TX: Abilene Regional"
ACT,"Waco, TX: Waco Regional"
ALO,"Waterloo, IA: Waterloo Regional"
BPT,"Beaumont/Port Arthur, TX: Jack Brooks Regional"
BRO,"Brownsville, TX: Brownsville South Padre Island International"
CLL,"College Station/Bryan, TX: Easterwood Field"
CMI,"Champaign/Urbana, IL: University of Illinois/Willard"
COU,"Columbia, MO: Columbia Regional"
CRP,"Corpus Christi, TX: Corpus Christi International"
DBQ,"Dubuque, IA: Dubuque Regional"
FSM,"Fort Smith, AR: Fort Smith Regional"
GCK,"Garden City, KS: Garden City Regional"
GGG,"Longview, TX: East Texas Regional"
GRK,"Killeen, TX: Robert Gray AAF"
HHH,"Hilton Head, SC: Hilton Head Airport"
LAW,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional"
LBB,"Lubbock, TX: Lubbock Preston Smith International"
LCH,"Lake Charles, LA: Lake Charles Regional"
LSE,"La Crosse, WI: La Crosse Regional"
MAF,"Midland/Odessa, TX: Midland International Air and Space Port"
MHK,"Manhattan/Ft. Riley, KS: Manhattan Regional"
MQT,"Marquette, MI: Sawyer International"
RST,"Rochester, MN: Rochester International"
SBP,"San Luis Obispo, CA: San Luis County Regional"
SJT,"San Angelo, TX: San Angelo Regional/Mathis Field"
SPS,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal"
STS,"Santa Rosa, CA: Charles M. Schulz - Sonoma County"
SWO,"Stillwater, OK: Stillwater Regional"
TXK,"Texarkana, AR: Texarkana Regional-Webb Field"
TYR,"Tyler, TX: Tyler Pounds Regional"
ACY,"Atlantic City, NJ: Atlantic City International"
LBE,"Latrobe, PA: Arnold Palmer Regional"
EWN,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional"
LYH,"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field"
PHF,"Newport News/Williamsburg, VA: Newport News/Williamsburg International"
ABR,"Aberdeen, SD: Aberdeen Regional"
ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County"
APN,"Alpena, MI: Alpena County Regional"
ASE,"Aspen, CO: Aspen Pitkin County Sardy Field"
BFF,"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field"
BFL,"Bakersfield, CA: Meadows Field"
BIH,"Bishop, CA: Bishop Airport"
BJI,"Bemidji, MN: Bemidji Regional"
BRD,"Brainerd, MN: Brainerd Lakes Regional"
BTM,"Butte, MT: Bert Mooney"
CDC,"Cedar City, UT: Cedar City Regional"
CGI,"Cape Girardeau, MO: Cape Girardeau Regional"
CIU,"Sault Ste. Marie, MI: Chippewa County International"
CMX,"Hancock/Houghton, MI: Houghton County Memorial"
CNY,"Moab, UT: Canyonlands Field"
CPR,"Casper, WY: Casper/Natrona County International"
CYS,"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field"
DDC,"Dodge City, KS: Dodge City Regional"
DEC,"Decatur, IL: Decatur Airport"
DRT,"Del Rio, TX: Del Rio International"
DVL,"Devils Lake, ND: Devils Lake Regional"
EAR,"Kearney, NE: Kearney Regional"
EAU,"Eau Claire, WI: Chippewa Valley Regional"
EKO,"Elko, NV: Elko Regional"
ESC,"Escanaba, MI: Delta County"
FLG,"Flagstaff, AZ: Flagstaff Pulliam"
FOD,"Fort Dodge, IA: Fort Dodge Regional"
GCC,"Gillette, WY: Gillette Campbell County"
GUC,"Gunnison, CO: Gunnison-Crested Butte Regional"
HDN,"Hayden, CO: Yampa Valley"
HIB,"Hibbing, MN: Range Regional"
HLN,"Helena, MT: Helena Regional"
HYS,"Hays, KS: Hays Regional"
IMT,"Iron Mountain/Kingsfd, MI: Ford"
INL,"International Falls, MN: Falls International Einarson Field"
JLN,"Joplin, MO: Joplin Regional"
JMS,"Jamestown, ND: Jamestown Regional"
JST,"Johnstown, PA: John Murtha Johnstown-Cambria County"
LAR,"Laramie, WY: Laramie Regional"
LBF,"North Platte, NE: North Platte Regional Airport Lee Bird Field"
LBL,"Liberal, KS: Liberal Mid-America Regional"
LWB,"Lewisburg, WV: Greenbrier Valley"
LWS,"Lewiston, ID: Lewiston Nez Perce County"
MCW,"Mason City, IA: Mason City Municipal"
MEI,"Meridian, MS: Key Field"
MKG,"Muskegon, MI: Muskegon County"
OTH,"North Bend/Coos Bay, OR: Southwest Oregon Regional"
PAH,"Paducah, KY: Barkley Regional"
PIB,"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional"
PIH,"Pocatello, ID: Pocatello Regional"
PLN,"Pellston, MI: Pellston Regional Airport of Emmet County"
PRC,"Prescott, AZ: Prescott Regional Ernest A Love Field"
PUB,"Pueblo, CO: Pueblo Memorial"
RDD,"Redding, CA: Redding Municipal"
RDM,"Bend/Redmond, OR: Roberts Field"
RHI,"Rhinelander, WI: Rhinelander/Oneida County"
RIW,"Riverton/Lander, WY: Riverton Regional"
RKS,"Rock Springs, WY: Southwest Wyoming Regional"
ROW,"Roswell, NM: Roswell International Air Center"
SAF,"Santa Fe, NM: Santa Fe Municipal"
SCE,"State College, PA: University Park"
SGU,"St. George, UT: St George Regional"
SHD,"Staunton, VA: Shenandoah Valley Regional"
SHR,"Sheridan, WY: Sheridan County"
SLN,"Salina, KS: Salina Regional"
SUN,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial"
SUX,"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field"
TBN,"Fort Leonard Wood, MO: Waynesville-St. Robert Regional Forney Field"
TWF,"Twin Falls, ID: Joslin Field - Magic Valley Regional"
VCT,"Victoria, TX: Victoria Regional"
VEL,"Vernal, UT: Vernal Regional"
WYS,"West Yellowstone, MT: Yellowstone"
XWA,"Williston, ND: Williston Basin International"
YUM,"Yuma, AZ: Yuma MCAS/Yuma International"
ALW,"Walla Walla, WA: Walla Walla Regional"
EAT,"Wenatchee, WA: Pangborn Memorial"
PUW,"Pullman, WA: Pullman Moscow Regional"
YKM,"Yakima, WA: Yakima Air Terminal/McAllister Field"
GUM,"Guam, TT: Guam International"
SPN,"Saipan, TT: Francisco C. Ada Saipan International"
ILG,"Wilmington, DE: New Castle"
ALS,"Alamosa, CO: San Luis Valley Regional/Bergman Field"
COD,"Cody, WY: Yellowstone Regional"
HOB,"Hobbs, NM: Lea County Regional"
OGS,"Ogdensburg, NY: Ogdensburg International"
STC,"St. Cloud, MN: St. Cloud Regional"
DIK,"Dickinson, ND: Dickinson - Theodore Roosevelt Regional"
LNK,"Lincoln, NE: Lincoln Airport"
OGD,"Ogden, UT: Ogden-Hinckley"
ERI,"Erie, PA: Erie International/Tom Ridge Field"
ATY,"Watertown, SD: Watertown Regional"
PIR,"Pierre, SD: Pierre Regional"
HVN,"New Haven, CT: Tweed New Haven"
CDB,"Cold Bay, AK: Cold Bay Airport"
IPT,"Williamsport, PA: Williamsport Regional"
BFM,"Mobile, AL: Mobile Downtown"
MMH,"Mammoth Lakes, CA: Mammoth Lakes Airport"
UIN,"Quincy, IL: Quincy Regional-Baldwin Field"
PGV,"Greenville, NC: Pitt Greenville"
ISN,"Williston, ND: Sloulin Field International"
ART,"Watertown, NY: Watertown International"
YNG,"Youngstown/Warren, OH: Youngstown-Warren Regional"
IFP,"Bullhead City, AZ: Laughlin/Bullhead International"
FNL,"Fort Collins/Loveland, CO: Northern Colorado Regional"
UST,"St. Augustine, FL: Northeast Florida Regional"
TKI,"Tokeen, AK: Tokeen Airport"
